scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
225,18.75,3.901910828025478,0,1,3.1,1,0.02,0.02,0.02,4,2,0.05
226,34.375,3.852830188679246,0,2,3.1,1,0.02,0.02,0.02,4,2,0.05
227,18.75,3.902469135802469,0,1,3.2,1,0.02,0.02,0.02,4,2,0.05
228,34.375,3.8548780487804875,0,2,3.2,1,0.02,0.02,0.02,4,2,0.05
229,18.75,3.9029940119760473,0,1,3.3000000000000003,1,0.02,0.02,0.02,4,2,0.05
230,34.375,3.8568047337278104,0,2,3.3000000000000003,1,0.02,0.02,0.02,4,2,0.05
231,18.75,3.903488372093023,0,1,3.4000000000000004,1,0.02,0.02,0.02,4,2,0.05
232,34.375,3.8586206896551722,0,2,3.4000000000000004,1,0.02,0.02,0.02,4,2,0.05
233,18.75,3.9039548022598876,0,1,3.5,1,0.02,0.02,0.02,4,2,0.05
234,34.375,3.8603351955307272,0,2,3.5,1,0.02,0.02,0.02,4,2,0.05
235,18.75,3.9043956043956043,0,1,3.6,1,0.02,0.02,0.02,4,2,0.05
236,34.375,3.8619565217391307,0,2,3.6,1,0.02,0.02,0.02,4,2,0.05
237,18.75,3.904812834224599,0,1,3.7,1,0.02,0.02,0.02,4,2,0.05
238,34.375,3.8634920634920635,0,2,3.7,1,0.02,0.02,0.02,4,2,0.05
239,18.75,3.905208333333334,0,1,3.8000000000000003,1,0.02,0.02,0.02,4,2,0.05
240,34.375,3.864948453608248,0,2,3.8000000000000003,1,0.02,0.02,0.02,4,2,0.05
241,18.75,3.905583756345178,0,1,3.9000000000000004,1,0.02,0.02,0.02,4,2,0.05
242,34.375,3.866331658291458,0,2,3.9000000000000004,1,0.02,0.02,0.02,4,2,0.05
243,18.75,3.905940594059406,0,1,4,1,0.02,0.02,0.02,4,2,0.05
244,34.375,3.8676470588235294,0,2,4,1,0.02,0.02,0.02,4,2,0.05
245,18.75,3.906280193236715,0,1,4.1,1,0.02,0.02,0.02,4,2,0.05
246,34.375,3.8688995215311004,0,2,4.1,1,0.02,0.02,0.02,4,2,0.05
247,18.75,3.906603773584906,0,1,4.2,1,0.02,0.02,0.02,4,2,0.05
248,34.375,3.8700934579439257,0,2,4.2,1,0.02,0.02,0.02,4,2,0.05
249,18.75,3.9069124423963135,0,1,4.300000000000001,1,0.02,0.02,0.02,4,2,0.05
250,34.375,3.871232876712329,0,2,4.300000000000001,1,0.02,0.02,0.02,4,2,0.05
251,18.75,3.907207207207207,0,1,4.4,1,0.02,0.02,0.02,4,2,0.05
252,34.375,3.8723214285714285,0,2,4.4,1,0.02,0.02,0.02,4,2,0.05
253,18.75,3.9074889867841405,0,1,4.5,1,0.02,0.02,0.02,4,2,0.05
254,34.375,3.873362445414847,0,2,4.5,1,0.02,0.02,0.02,4,2,0.05
