scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
239,45.265151515151516,0.37878787878787873,0,6.6000000000000005,0,1,0.02,0.02,0.02,4,2,0.05
240,45.33582089552239,0.373134328358209,0,6.7,0,1,0.02,0.02,0.02,4,2,0.05
241,45.404411764705884,0.3676470588235293,0,6.800000000000001,0,1,0.02,0.02,0.02,4,2,0.05
242,45.471014492753625,0.36231884057971014,0,6.9,0,1,0.02,0.02,0.02,4,2,0.05
243,45.535714285714285,0.35714285714285715,0,7,0,1,0.02,0.02,0.02,4,2,0.05
244,45.598591549295776,0.352112676056338,0,7.1000000000000005,0,1,0.02,0.02,0.02,4,2,0.05
245,45.65972222222222,0.3472222222222222,0,7.2,0,1,0.02,0.02,0.02,4,2,0.05
246,45.71917808219178,0.3424657534246575,0,7.300000000000001,0,1,0.02,0.02,0.02,4,2,0.05
247,45.77702702702703,0.33783783783783783,0,7.4,0,1,0.02,0.02,0.02,4,2,0.05
248,45.83333333333333,0.33333333333333337,0,7.5,0,1,0.02,0.02,0.02,4,2,0.05
249,45.88815789473684,0.3289473684210526,0,7.6000000000000005,0,1,0.02,0.02,0.02,4,2,0.05
250,45.94155844155844,0.3246753246753247,0,7.7,0,1,0.02,0.02,0.02,4,2,0.05
251,45.993589743589745,0.3205128205128205,0,7.800000000000001,0,1,0.02,0.02,0.02,4,2,0.05
252,46.04430379746836,0.31645569620253167,0,7.9,0,1,0.02,0.02,0.02,4,2,0.05
253,46.09375,0.3125,0,8,0,1,0.02,0.02,0.02,4,2,0.05
254,46.141975308641975,0.3086419753086419,0,8.100000000000001,0,1,0.02,0.02,0.02,4,2,0.05
255,46.1890243902439,0.30487804878048785,0,8.2,0,1,0.02,0.02,0.02,4,2,0.05
256,46.234939759036145,0.3012048192771084,0,8.3,0,1,0.02,0.02,0.02,4,2,0.05
257,46.279761904761905,0.2976190476190476,0,8.4,0,1,0.02,0.02,0.02,4,2,0.05
258,46.32352941176471,0.2941176470588235,0,8.5,0,1,0.02,0.02,0.02,4,2,0.05
259,46.366279069767444,0.2906976744186046,0,8.600000000000001,0,1,0.02,0.02,0.02,4,2,0.05
260,46.40804597701149,0.2873563218390805,0,8.7,0,1,0.02,0.02,0.02,4,2,0.05
261,46.44886363636363,0.28409090909090906,0,8.8,0,1,0.02,0.02,0.02,4,2,0.05
262,46.48876404494382,0.28089887640449435,0,8.9,0,1,0.02,0.02,0.02,4,2,0.05
263,46.52777777777778,0.2777777777777778,0,9,0,1,0.02,0.02,0.02,4,2,0.05
264,46.565934065934066,0.2747252747252747,0,9.1,0,1,0.02,0.02,0.02,4,2,0.05
265,46.60326086956522,0.2717391304347826,0,9.200000000000001,0,1,0.02,0.02,0.02,4,2,0.05
266,46.63978494623656,0.2688172043010752,0,9.3,0,1,0.02,0.02,0.02,4,2,0.05
267,46.67553191489362,0.26595744680851063,0,9.4,0,1,0.02,0.02,0.02,4,2,0.05
268,46.71052631578947,0.2631578947368421,0,9.5,0,1,0.02,0.02,0.02,4,2,0.05
269,46.74479166666667,0.26041666666666663,0,9.6,0,1,0.02,0.02,0.02,4,2,0.05
270,46.77835051546392,0.25773195876288657,0,9.700000000000001,0,1,0.02,0.02,0.02,4,2,0.05
271,46.81122448979592,0.2551020408163265,0,9.8,0,1,0.02,0.02,0.02,4,2,0.05
272,46.84343434343434,0.25252525252525254,0,9.9,0,1,0.02,0.02,0.02,4,2,0.05
273,46.875,0.25,0,10,0,1,0.02,0.02,0.02,4,2,0.05
274,18.75,3.8653846153846154,0,1,1,1,0.02,0.02,0.02,4,2,0.05
275,21.590909090909093,3.8505747126436782,0,1.1,1,1,0.02,0.02,0.02,4,2,0.05
276,23.958333333333332,3.83587786259542,0,1.2,1,1,0.02,0.02,0.02,4,2,0.05
277,25.961538461538463,3.821292775665399,0,1.3,1,1,0.02,0.02,0.02,4,2,0.05
278,27.678571428571423,3.8068181818181817,0,1.4,1,1,0.02,0.02,0.02,4,2,0.05
279,29.166666666666664,3.7924528301886795,0,1.5,1,1,0.02,0.02,0.02,4,2,0.05
280,30.46875,3.778195488721804,0,1.6,1,1,0.02,0.02,0.02,4,2,0.05
