scenario_id,E,N_s,N_w,p_w,p_s,r_s,r_w,q_s,q_w,k_s,k_w,c
184,26.5625,3.8482456140350876,0,1.1,1,1,0.02,0.02,0.02,4,2,0.0375
185,26.5625,3.854032258064516,0,1.2,1,1,0.02,0.02,0.02,4,2,0.0375
186,26.5625,3.858955223880597,0,1.3,1,1,0.02,0.02,0.02,4,2,0.0375
187,26.5625,3.8631944444444444,0,1.4,1,1,0.02,0.02,0.02,4,2,0.0375
188,26.5625,3.866883116883117,0,1.5,1,1,0.02,0.02,0.02,4,2,0.0375
189,26.5625,3.870121951219512,0,1.6,1,1,0.02,0.02,0.02,4,2,0.0375
190,26.5625,3.8729885057471263,0,1.7000000000000002,1,1,0.02,0.02,0.02,4,2,0.0375
191,26.5625,3.87554347826087,0,1.8,1,1,0.02,0.02,0.02,4,2,0.0375
192,26.5625,3.8778350515463917,0,1.9,1,1,0.02,0.02,0.02,4,2,0.0375
193,26.5625,3.8799019607843137,0,2,1,1,0.02,0.02,0.02,4,2,0.0375
194,26.5625,3.88177570093458,0,2.1,1,1,0.02,0.02,0.02,4,2,0.0375
195,26.5625,3.883482142857143,0,2.2,1,1,0.02,0.02,0.02,4,2,0.0375
196,26.5625,3.8850427350427355,0,2.3,1,1,0.02,0.02,0.02,4,2,0.0375
197,26.5625,3.8864754098360654,0,2.4000000000000004,1,1,0.02,0.02,0.02,4,2,0.0375
198,26.5625,3.887795275590551,0,2.5,1,1,0.02,0.02,0.02,4,2,0.0375
199,26.5625,3.889015151515151,0,2.6,1,1,0.02,0.02,0.02,4,2,0.0375
200,26.5625,3.8901459854014595,0,2.7,1,1,0.02,0.02,0.02,4,2,0.0375
201,26.5625,3.891197183098591,0,2.8,1,1,0.02,0.02,0.02,4,2,0.0375
202,26.5625,3.892176870748299,0,2.9000000000000004,1,1,0.02,0.02,0.02,4,2,0.0375
203,26.5625,3.893092105263157,0,3,1,1,0.02,0.02,0.02,4,2,0.0375
204,26.5625,3.8939490445859875,0,3.1,1,1,0.02,0.02,0.02,4,2,0.0375
205,26.5625,3.8947530864197524,0,3.2,1,1,0.02,0.02,0.02,4,2,0.0375
206,26.5625,3.895508982035927,0,3.3000000000000003,1,1,0.02,0.02,0.02,4,2,0.0375
207,26.5625,3.8962209302325572,0,3.4000000000000004,1,1,0.02,0.02,0.02,4,2,0.0375
208,26.5625,3.896892655367232,0,3.5,1,1,0.02,0.02,0.02,4,2,0.0375
209,26.5625,3.8975274725274724,0,3.6,1,1,0.02,0.02,0.02,4,2,0.0375
210,26.5625,3.898128342245989,0,3.7,1,1,0.02,0.02,0.02,4,2,0.0375
211,26.5625,3.898697916666667,0,3.8000000000000003,1,1,0.02,0.02,0.02,4,2,0.0375
212,26.5625,3.8992385786802033,0,3.9000000000000004,1,1,0.02,0.02,0.02,4,2,0.0375
213,26.5625,3.8997524752475243,0,4,1,1,0.02,0.02,0.02,4,2,0.0375
214,26.5625,3.9002415458937194,0,4.1,1,1,0.02,0.02,0.02,4,2,0.0375
215,26.5625,3.9007075471698114,0,4.2,1,1,0.02,0.02,0.02,4,2,0.0375
216,26.5625,3.9011520737327188,0,4.300000000000001,1,1,0.02,0.02,0.02,4,2,0.0375
217,26.5625,3.901576576576576,0,4.4,1,1,0.02,0.02,0.02,4,2,0.0375
218,26.5625,3.901982378854625,0,4.5,1,1,0.02,0.02,0.02,4,2,0.0375
219,26.5625,3.9023706896551724,0,4.6,1,1,0.02,0.02,0.02,4,2,0.0375
220,26.5625,3.9027426160337546,0,4.7,1,1,0.02,0.02,0.02,4,2,0.0375
221,26.5625,3.903099173553718,0,4.800000000000001,1,1,0.02,0.02,0.02,4,2,0.0375
222,26.5625,3.903441295546558,0,4.9,1,1,0.02,0.02,0.02,4,2,0.0375
223,26.5625,3.9037698412698414,0,5,1,1,0.02,0.02,0.02,4,2,0.0375
224,26.5625,3.9040856031128404,0,5.1000000000000005,1,1,0.02,0.02,0.02,4,2,0.0375
225,26.5625,3.9043893129770995,0,5.2,1,1,0.02,0.02,0.02,4,2,0.0375
226,26.5625,3.904681647940075,0,5.3,1,1,0.02,0.02,0.02,4,2,0.0375
227,26.5625,3.9049632352941175,0,5.4,1,1,0.02,0.02,0.02,4,2,0.0375
228,26.5625,3.905234657039711,0,5.5,1,1,0.02,0.02,0.02,4,2,0.0375
229,26.5625,3.9054964539007098,0,5.6000000000000005,1,1,0.02,0.02,0.02,4,2,0.0375
230,26.5625,3.9057491289198607,0,5.7,1,1,0.02,0.02,0.02,4,2,0.0375
231,26.5625,3.9059931506849312,0,5.800000000000001,1,1,0.02,0.02,0.02,4,2,0.0375
232,26.5625,3.906228956228957,0,5.9,1,1,0.02,0.02,0.02,4,2,0.0375
233,26.5625,3.906456953642384,0,6,1,1,0.02,0.02,0.02,4,2,0.0375
234,26.5625,3.906677524429967,0,6.1000000000000005,1,1,0.02,0.02,0.02,4,2,0.0375
235,26.5625,3.906891025641026,0,6.2,1,1,0.02,0.02,0.02,4,2,0.0375
236,26.5625,3.907097791798108,0,6.300000000000001,1,1,0.02,0.02,0.02,4,2,0.0375
237,26.5625,3.9072981366459625,0,6.4,1,1,0.02,0.02,0.02,4,2,0.0375
238,26.5625,3.907492354740061,0,6.5,1,1,0.02,0.02,0.02,4,2,0.0375
