time,stock_price,price,scenario_label
37.7,Strong stock,1,None
37.7,Weak stock,1,None
37.800000000000004,Strong stock,1,None
37.800000000000004,Weak stock,1,None
37.9,Strong stock,1,None
37.9,Weak stock,1,None
38,Strong stock,1,None
38,Weak stock,1,None
38.1,Strong stock,1,None
38.1,Weak stock,1,None
38.2,Strong stock,1,None
38.2,Weak stock,1,None
38.300000000000004,Strong stock,1,None
38.300000000000004,Weak stock,1,None
38.400000000000006,Strong stock,1,None
38.400000000000006,Weak stock,1,None
38.5,Strong stock,1,None
38.5,Weak stock,1,None
38.6,Strong stock,1,None
38.6,Weak stock,1,None
38.7,Strong stock,1,None
38.7,Weak stock,1,None
38.800000000000004,Strong stock,1,None
38.800000000000004,Weak stock,1,None
38.900000000000006,Strong stock,1,None
38.900000000000006,Weak stock,1,None
39,Strong stock,1,None
39,Weak stock,1,None
39.1,Strong stock,1,None
39.1,Weak stock,1,None
39.2,Strong stock,1,None
39.2,Weak stock,1,None
39.300000000000004,Strong stock,1,None
39.300000000000004,Weak stock,1,None
39.400000000000006,Strong stock,1,None
39.400000000000006,Weak stock,1,None
39.5,Strong stock,1,None
39.5,Weak stock,1,None
39.6,Strong stock,1,None
39.6,Weak stock,1,None
39.7,Strong stock,1,None
39.7,Weak stock,1,None
39.800000000000004,Strong stock,1,None
39.800000000000004,Weak stock,1,None
39.900000000000006,Strong stock,1,None
39.900000000000006,Weak stock,1,None
40,Strong stock,1,None
40,Weak stock,1,None
40.1,Strong stock,1,None
40.1,Weak stock,1,None
40.2,Strong stock,1,None
40.2,Weak stock,1,None
40.300000000000004,Strong stock,1,None
40.300000000000004,Weak stock,1,None
40.400000000000006,Strong stock,1,None
40.400000000000006,Weak stock,1,None
40.5,Strong stock,1,None
40.5,Weak stock,1,None
40.6,Strong stock,1,None
40.6,Weak stock,1,None
40.7,Strong stock,1,None
40.7,Weak stock,1,None
40.800000000000004,Strong stock,1,None
40.800000000000004,Weak stock,1,None
40.900000000000006,Strong stock,1,None
40.900000000000006,Weak stock,1,None
41,Strong stock,1,None
41,Weak stock,1,None
41.1,Strong stock,1,None
41.1,Weak stock,1,None
41.2,Strong stock,1,None
41.2,Weak stock,1,None
41.300000000000004,Strong stock,1,None
41.300000000000004,Weak stock,1,None
41.400000000000006,Strong stock,1,None
41.400000000000006,Weak stock,1,None
41.5,Strong stock,1,None
41.5,Weak stock,1,None
41.6,Strong stock,1,None
41.6,Weak stock,1,None
41.7,Strong stock,1,None
41.7,Weak stock,1,None
41.800000000000004,Strong stock,1,None
41.800000000000004,Weak stock,1,None
41.900000000000006,Strong stock,1,None
41.900000000000006,Weak stock,1,None
42,Strong stock,1,None
42,Weak stock,1,None
42.1,Strong stock,1,None
42.1,Weak stock,1,None
42.2,Strong stock,1,None
42.2,Weak stock,1,None
42.300000000000004,Strong stock,1,None
42.300000000000004,Weak stock,1,None
42.400000000000006,Strong stock,1,None
42.400000000000006,Weak stock,1,None
42.5,Strong stock,1,None
42.5,Weak stock,1,None
42.6,Strong stock,1,None
42.6,Weak stock,1,None
42.7,Strong stock,1,None
42.7,Weak stock,1,None
42.800000000000004,Strong stock,1,None
42.800000000000004,Weak stock,1,None
42.900000000000006,Strong stock,1,None
42.900000000000006,Weak stock,1,None
43,Strong stock,1,None
43,Weak stock,1,None
43.1,Strong stock,1,None
43.1,Weak stock,1,None
43.2,Strong stock,1,None
43.2,Weak stock,1,None
43.300000000000004,Strong stock,1,None
43.300000000000004,Weak stock,1,None
43.400000000000006,Strong stock,1,None
43.400000000000006,Weak stock,1,None
43.5,Strong stock,1,None
43.5,Weak stock,1,None
43.6,Strong stock,1,None
43.6,Weak stock,1,None
43.7,Strong stock,1,None
43.7,Weak stock,1,None
43.800000000000004,Strong stock,1,None
43.800000000000004,Weak stock,1,None
43.900000000000006,Strong stock,1,None
43.900000000000006,Weak stock,1,None
44,Strong stock,1,None
44,Weak stock,1,None
44.1,Strong stock,1,None
44.1,Weak stock,1,None
44.2,Strong stock,1,None
44.2,Weak stock,1,None
44.300000000000004,Strong stock,1,None
44.300000000000004,Weak stock,1,None
44.400000000000006,Strong stock,1,None
44.400000000000006,Weak stock,1,None
44.5,Strong stock,1,None
44.5,Weak stock,1,None
44.6,Strong stock,1,None
44.6,Weak stock,1,None
44.7,Strong stock,1,None
44.7,Weak stock,1,None
44.800000000000004,Strong stock,1,None
44.800000000000004,Weak stock,1,None
44.900000000000006,Strong stock,1,None
44.900000000000006,Weak stock,1,None
45,Strong stock,1,None
45,Weak stock,1,None
45.1,Strong stock,1,None
45.1,Weak stock,1,None
45.2,Strong stock,1,None
45.2,Weak stock,1,None
45.300000000000004,Strong stock,1,None
45.300000000000004,Weak stock,1,None
45.400000000000006,Strong stock,1,None
45.400000000000006,Weak stock,1,None
45.5,Strong stock,1,None
45.5,Weak stock,1,None
45.6,Strong stock,1,None
